"Series";"Time";"Value"
"tpsrv010.cern.ch";"2019-08-14T14:30:00+02:00";189451923.15333334
"tpsrv010.cern.ch";"2019-08-14T15:00:00+02:00";79230462.91555555
"tpsrv010.cern.ch";"2019-08-14T15:30:00+02:00";68684100.96222222
"tpsrv010.cern.ch";"2019-08-14T16:00:00+02:00";103308035.54444444
"tpsrv010.cern.ch";"2019-08-14T16:30:00+02:00";258604111.18666667
"tpsrv010.cern.ch";"2019-08-14T17:00:00+02:00";246392819.0111111
"tpsrv010.cern.ch";"2019-08-14T17:30:00+02:00";242375394.65333334
"tpsrv010.cern.ch";"2019-08-14T18:00:00+02:00";235302205.09555554
"tpsrv010.cern.ch";"2019-08-14T18:30:00+02:00";180564958.8
"tpsrv010.cern.ch";"2019-08-14T19:00:00+02:00";268892689.86444443
"tpsrv010.cern.ch";"2019-08-14T19:30:00+02:00";263684244.02666667
"tpsrv010.cern.ch";"2019-08-14T20:00:00+02:00";244216401.51777777
"tpsrv010.cern.ch";"2019-08-14T20:30:00+02:00";178863329.09888887
"tpsrv010.cern.ch";"2019-08-14T21:00:00+02:00";189565231.72111112
"tpsrv010.cern.ch";"2019-08-14T21:30:00+02:00";248278094.35555556
"tpsrv010.cern.ch";"2019-08-14T22:00:00+02:00";239214326.54444444
"tpsrv010.cern.ch";"2019-08-14T22:30:00+02:00";93898666.97222222
"tpsrv010.cern.ch";"2019-08-14T23:00:00+02:00";76563252.19555555
"tpsrv010.cern.ch";"2019-08-14T23:30:00+02:00";215290408.3211111
"tpsrv010.cern.ch";"2019-08-15T00:00:00+02:00";217220545.41444445
"tpsrv010.cern.ch";"2019-08-15T00:30:00+02:00";178583999.06111112
"tpsrv010.cern.ch";"2019-08-15T01:00:00+02:00";70381948.31888889
"tpsrv010.cern.ch";"2019-08-15T01:30:00+02:00";28240773.21111111
"tpsrv010.cern.ch";"2019-08-15T02:00:00+02:00";67757992.31111111
"tpsrv010.cern.ch";"2019-08-15T02:30:00+02:00";177414667.87666667
"tpsrv010.cern.ch";"2019-08-15T03:00:00+02:00";254817959.90444446
"tpsrv010.cern.ch";"2019-08-15T03:30:00+02:00";229598150.09111112
"tpsrv010.cern.ch";"2019-08-15T04:00:00+02:00";148353081.78666666
"tpsrv010.cern.ch";"2019-08-15T04:30:00+02:00";105636781.84777778
"tpsrv010.cern.ch";"2019-08-15T05:00:00+02:00";172536821.8888889
"tpsrv010.cern.ch";"2019-08-15T05:30:00+02:00";193951986.69777778
"tpsrv010.cern.ch";"2019-08-15T06:00:00+02:00";263436659.37777779
"tpsrv010.cern.ch";"2019-08-15T06:30:00+02:00";266989640.02666667
"tpsrv010.cern.ch";"2019-08-15T07:00:00+02:00";96490147.58888888
"tpsrv010.cern.ch";"2019-08-15T07:30:00+02:00";128812419.86888888
"tpsrv010.cern.ch";"2019-08-15T08:00:00+02:00";215460220.02
"tpsrv010.cern.ch";"2019-08-15T08:30:00+02:00";214829611.28666666
"tpsrv010.cern.ch";"2019-08-15T09:00:00+02:00";198706191.0088889
"tpsrv010.cern.ch";"2019-08-15T09:30:00+02:00";195612405.3888889
"tpsrv010.cern.ch";"2019-08-15T10:00:00+02:00";217359484.41333333
"tpsrv010.cern.ch";"2019-08-15T10:30:00+02:00";207414313.64222223
"tpsrv010.cern.ch";"2019-08-15T11:00:00+02:00";257189671.54222223
"tpsrv010.cern.ch";"2019-08-15T11:30:00+02:00";248409024.7088889
"tpsrv010.cern.ch";"2019-08-15T12:00:00+02:00";170004474.0577778
"tpsrv010.cern.ch";"2019-08-15T12:30:00+02:00";180369956.87777779
"tpsrv010.cern.ch";"2019-08-15T13:00:00+02:00";253902628.17777777
"tpsrv010.cern.ch";"2019-08-15T13:30:00+02:00";262590653.5088889
"tpsrv010.cern.ch";"2019-08-15T14:00:00+02:00";243389035.29333332
"tpsrv010.cern.ch";"2019-08-15T14:30:00+02:00";223669384.64
"tpsrv010.cern.ch";"2019-08-15T15:00:00+02:00";12472713.561111111
"tpsrv010.cern.ch";"2019-08-15T15:30:00+02:00";96158382.90333334
"tpsrv010.cern.ch";"2019-08-15T16:00:00+02:00";145684850.40222222
"tpsrv010.cern.ch";"2019-08-15T16:30:00+02:00";245854532.11333334
