"Time";"tpsrv010.cern.ch";"tpsrv011.cern.ch";"tpsrv012.cern.ch";"tpsrv013.cern.ch";"tpsrv103.cern.ch";"tpsrv104.cern.ch";"tpsrv108.cern.ch";"tpsrv109.cern.ch";"tpsrv112.cern.ch";"tpsrv113.cern.ch";"tpsrv114.cern.ch";"tpsrv115.cern.ch";"tpsrv116.cern.ch";"tpsrv117.cern.ch";"tpsrv118.cern.ch";"tpsrv119.cern.ch";"tpsrv210.cern.ch";"tpsrv211.cern.ch";"tpsrv213.cern.ch";"tpsrv221.cern.ch";"tpsrv222.cern.ch";"tpsrv223.cern.ch";"tpsrv224.cern.ch";"tpsrv410.cern.ch"
"2019-08-10T21:30:00";71816188.39222223;133880469.93777777;167569409.5111111;108710614.42777778;;;;;;262528900.81555554;;;;;;;;;;262038105.20222223;62870825.37111111;256589647.1688889;;
"2019-08-10T22:00:00";;116316695.10666667;38295608.63666666;51358447.03222222;;;;;;181832303.30888888;;;;;;;;;;115860122.83777778;52489179.384444445;178487731.45777777;;
"2019-08-10T22:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-10T23:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-10T23:30:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-11T00:00:00";;;;;;;;;;;;;;;;;;;;;;;;
"2019-08-11T00:30:00";;;;78886759.32444444;;;;;;;;;;;;;;;;;;;;
"2019-08-11T01:00:00";38723491.69888889;88442200.80111112;19248216.015555557;110246950.07333334;;;;;;67874647.87666667;;;;;;;;;;236938882.71666667;63723678.52222222;112465741.13444445;;
"2019-08-11T01:30:00";269777297.56666666;259148066.0111111;48484477.78222222;264422778.60222223;;;;;;90640604.18333334;;;;;;;2913294.4133333336;;;169256476.94666666;97109836.7188889;230077159.7111111;;
"2019-08-11T02:00:00";258790670.47777778;181404708.2177778;128079087.51;207164982.98444444;;;;;;79842724.87222221;;;;;;;;;;129403709.24666667;232715093.22444445;115053578.79666667;;
"2019-08-11T02:30:00";282262097.3466667;222403353.42555556;278977668.3511111;17119141.76111111;;;;;;256609018.19111112;;;;;;;;;;38270995.74333333;224108774.95333335;14692670.735555556;;63953205.30222222
"2019-08-11T03:00:00";274463339.98444444;231942048.11222222;268525242.7644445;;;;;;;251836758.86;;;;;;;;;;;171034716.63111112;10476164.94;;66056796.4
"2019-08-11T03:30:00";267471266.2911111;264989741.2088889;267341354.12222221;;;;;;;199645850.73444444;;;;;;;;;;;261871055.82666665;111991399.01333334;;
"2019-08-11T04:00:00";93733951.79333334;283525504.6422222;182563109.25333333;;;;;;;207351107.05888888;;;;;;;;;;;226589420.63111112;204317034.09666666;;
"2019-08-11T04:30:00";255805094.37333333;283123833.80222225;281870180.68222225;;;;;;;288876822.8466667;;;;;;;;;;;212076320.36;237817083.39333335;;
"2019-08-11T05:00:00";263704197.39777777;273968314.16;278116076.68;;;;;;;279260211.8977778;;;;;;;;;;;265105082.91555557;232712909.90666667;;
"2019-08-11T05:30:00";272914769.2266667;281515414.87777776;263564093.0022222;;;;;;;246630207.59333333;;;3903967.2355555557;;;1456669.4488888888;;;;;257956745.40222222;290643109.2822222;;
"2019-08-11T06:00:00";271808649.7355555;214529279.09;271083517.1066667;;;;;;;158160477.84666666;;;7400003.055555556;;;;2809601.8977777776;;;;285103780.95555556;288791180.86444443;;
"2019-08-11T06:30:00";263960082.8311111;30840679.61888889;271012301.65555555;;;;;;;100828699.51777777;;;;;;2453414.6844444443;;;;;217818823.8;263034552.76222223;;
"2019-08-11T07:00:00";274848547.92444444;116933289.34222223;278571631.36444443;;;;;;;138121878.35777777;;;;;;;;;;;41957525.825555556;284731091.6066667;;
"2019-08-11T07:30:00";237147289.68555555;63366531.16555556;274938404.1577778;;;;;;;126807131.69333333;;;;;;;;;;;168407994.76777777;298227345.0422222;;
"2019-08-11T08:00:00";217707843.87;84044084.96777777;278641245.79555553;;;;;;;212063945.27333334;;;;;;;;;;;188431880.75777778;272094389.77555555;;
"2019-08-11T08:30:00";259247390.12222221;44545901.93;212345604.92666668;;;;;;;277275026.33555555;;;;;;;;;;;74755451.72666667;263389474.7288889;;
"2019-08-11T09:00:00";282974264.2311111;188932726.6788889;123674317.15777777;75216540.79222222;;;0.24333333333333335;0;0.24333333333333335;280447159.07555556;;;;;;;2913294.4133333336;;;7282618.823333333;220484874.39555556;208580432.7688889;;
"2019-08-11T09:30:00";269338630.89111114;240048685.8;246324074.2822222;239423756.2288889;;;0;0.24333333333333335;0;283748766.2177778;;;5360490.935555556;;;2485018.0822222224;;;;55242023.56666667;220517562.1111111;236642943.9488889;;
"2019-08-11T10:00:00";250545965.40444446;270891571.2088889;135019335.46888888;282451279.25555557;;;0.01;0.01;0.01;275362067.15555555;;;;;;;;;;282024265.45111114;207405675.78444445;275136037.18222225;;
"2019-08-11T10:30:00";250394794.95555556;276578580.22444445;64482596.56888889;279202683.69555557;;;;;;261044998.63555557;;;5366462.195555556;;;2002083.211111111;;;;272178131.7822222;152249041.76777777;266975220.74888888;;
"2019-08-11T11:00:00";248621217.52888888;274125749.9088889;52079184.74222222;243470008.0488889;;;;;;232999960.7177778;;;;;;;;;;282215634.2022222;131313165.28777778;240385251.54444444;;
"2019-08-11T11:30:00";265600256.90666667;241577884.6;138859971.12222221;181557192.50444445;;;;;;168929811.52222222;;;;;;;;;;233322545.70333335;97398926.58;148770191.41777778;;
"2019-08-11T12:00:00";281980864.68222225;267870751.42666668;229903409.86;247112851.04666665;;;;;;268271838.86222222;;;;;;;;;;282948342.0877778;274220705.74;232630918.5711111;;
"2019-08-11T12:30:00";76211035.21333334;267142270.12444445;27130037.02;258819799.59777778;;;;;;268091244.74666667;;;;;;;;;;291004151.5911111;254726355.31666666;235345171.25777778;;
"2019-08-11T13:00:00";170897522.4;259265011.72444445;170723482.9488889;272613010.02666664;;;;;;273849474.61777776;;;;;;;1456792.8422222221;;;277378279.1111111;65036602.79444444;210074388.2011111;;
"2019-08-11T13:30:00";273313819.44;260021894.1;258042524.37777779;252217891.9288889;;;;;;274560915.3144444;;;2447589.1733333333;;;2485018.0822222224;1352809.0555555555;;;251377998.7222222;179476316.4422222;54553594.31888889;;
"2019-08-11T14:00:00";278881988.74;92018415.6411111;263872841.96222222;262804012.14222223;;;;;;211316822.01;;;1456378.1733333333;;;3919259.202222222;;;;270779575.6155556;281379965.77111113;233900002.40666667;;
"2019-08-11T14:30:00";287799537.64444447;140495180.83444443;108388026.38222222;211799174.2288889;;;;;;287034356.61777776;;;0.10111111111111111;;;1992762.3933333333;;;;273428725.65555555;269374897.4;279595175.94222224;;
"2019-08-11T15:00:00";276440223.4822222;272629752.25555557;101529048.32444444;294485765.32;;;;;;263462732.66444445;;;2913047.521111111;;;2447006.6222222224;;;;286311118.9866667;258969659.87555555;291120809.1577778;;
"2019-08-11T15:30:00";263150628.0622222;299411234.25333333;296279298.67777777;266678848.58222222;;;;;;284833329.89555556;;;;;;;1456792.8422222221;;;262946888.06444445;260502495.0688889;283298603.11777776;;
"2019-08-11T16:00:00";84335607.47666667;285497872.37333333;269854923.0711111;119724889.26222222;;;;;;284111840.6288889;;;;;;;;;;270489756.1533333;262299521.88444445;244976633.9888889;;
"2019-08-11T16:30:00";82219242.50555556;280231901.4622222;269999395.17777777;57644174.53666667;;;;;;271368823.5044444;;;;;;3262432.8244444444;;;;272632235.49333334;279530804.3288889;191940147.37888888;;
"2019-08-11T17:00:00";65597455.277777776;279693333.6711111;284234321.71555555;54070367.207777776;;;;;;281093936.02;;;;;;;1456501.5711111112;;;135240000.63333333;267727880.76666668;193451433.42333335;;
"2019-08-11T17:30:00";55575535.034444444;239854837.62;272315037.1244444;70590647.31111111;;;;;;119661560.20888889;;;5825803.635555555;;;;;;;81661886.80222222;131817222.45111111;71391509.78;;
"2019-08-11T18:00:00";56747896.51777778;41082351.741111115;281487158.7311111;75433496.73777778;;;;;;221329131.18888888;;;;;;1456960.7244444445;;;;191330798.36888888;144561402.7177778;46989748.74222222;;
"2019-08-11T18:30:00";66496621.99222222;23347881.591111112;285764395.3377778;62927308.75;;;;;;183525775.56444445;;;5912021.595555556;;;3941687.42;;;;139731325.81777778;48291024.704444446;59955591.84;;
"2019-08-11T19:00:00";112524410.10111111;207485672.9211111;230756562.64666668;135817160.84777778;;;;;;238740709.7888889;;;1456960.7244444445;;;;;;;233076136.38666666;221231117.10666665;257338366.11777776;;
"2019-08-11T19:30:00";22077598.607777778;286486903.78444445;295211481.35333335;259999470.43333334;;;;;;72940222.30111112;;;;;;;1456792.8422222221;;;243503072.66;119509076.15444444;263110284.69111112;;
"2019-08-11T20:00:00";48365690.55777778;294526401.8155556;284906298.40444446;264957560.09555554;;;;;;30562387.216666665;;;;;;;;;;202595305.18222222;42167098.64777778;239517832.26;;
"2019-08-11T20:30:00";85207396.41444445;288934931.60888886;272853465.2511111;275072108.31333333;;;;;;136674676.26666668;;;1456378.1733333333;;;;;;;297382211.5777778;282644971.3844444;297002678.1066667;;
"2019-08-11T21:00:00";32203433.81777778;267825456.79777777;263438996.83555555;280036171.4;;;;;;44466864.99;;;;;;;1352809.0555555555;;;290241006.2222222;292706798.1577778;283972609.6333333;;
"2019-08-11T21:30:00";82368365.09555556;303344334.3377778;240618713.62666667;262045097.23777777;;;;;;58843210.31;;;;;;;;;;274266145.43777776;276130450.36444443;271518684.92;;
"2019-08-11T22:00:00";23648601.86222222;230229640.41111112;149707803.91666666;178869737.08888888;;;;;;59328767.20111111;;;;;;;1456792.8422222221;;;243862794.98444444;284961778.7177778;273523534.1422222;;
"2019-08-11T22:30:00";55348339.98777778;98897540.30888888;99673352.74111111;38299832.516666666;;;;;;47789301.66555556;;;;;;;;;;279161616.26;271384114.04888886;265673219.1577778;;
"2019-08-11T23:00:00";231220122.08444443;226309365.86888888;159897062.59777778;57642717.08111111;;;;;;30165377.627777778;;;;;;;;;;275740435.0977778;261736629.31333333;274879275.7888889;;
"2019-08-11T23:30:00";275611543.67333335;245291651.63111112;261629732.32222223;19737660.73222222;;;;;;79336781.21333334;;;;;;;;;;57756316.153333336;254343324.96444446;284768957.99777776;;
"2019-08-12T00:00:00";263258400.30222222;70318137.10444444;267773610.31777778;27110770.79222222;;;;;;47589923.16222222;;;;;;;;;;82280413.22666667;123977098.98222223;278699647.54;;
